Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,Aberdeen,499692,218798,39329,17411,4,57.2995,-2.30642
AL,St Albans,249911,99209,11495,7795,0,51.7756,-0.283192
B,Birmingham,1904293,750842,62793,41934,0,52.4649,-1.88859
BA,Bath,434539,183530,20587,15523,0,51.229,-2.41695
BB,Blackburn,488564,202015,19363,13572,0,53.787,-2.33482
BD,Bradford,578374,223952,23942,17305,12,53.8291,-1.82921
BF,British Forces,,,48,48,0,36.3495,-4.67733
BH,Bournemouth,552110,242907,22725,15296,0,50.7506,-1.89141
BL,Bolton,379929,159979,14152,10398,0,53.5868,-2.40791
BN,Brighton,802838,356367,35956,22465,1,50.8291,-0.120487
BR,Bromley,299157,124954,10783,6798,0,51.3943,0.0424381
BS,Bristol,940076,398197,46642,27410,0,51.449,-2.62239
BT,Northern Ireland,1787720,693967,63132,50094,848,54.6039,-6.38018
CA,Carlisle,318114,140587,16599,12855,0,54.7317,-3.10751
CB,Cambridge,421190,167654,19733,11169,0,52.207,0.189653
CF,Cardiff,1005305,419896,43107,23447,0,51.5341,-3.29416
CH,Chester,659880,285880,24786,19099,1,53.2905,-3.02013
CM,Chelmsford,653626,270044,28436,18611,0,51.7593,0.403128
CO,Colchester,411411,176939,18707,13735,0,51.9024,0.924761
CR,Croydon,405236,158695,15139,8013,0,51.3561,-0.103601
CT,Canterbury,482627,206290,20480,15304,0,51.2557,1.23205
CV,Coventry,821033,341504,29278,21158,0,52.367,-1.50033
CW,Crewe,309487,130803,14498,9830,0,53.1548,-2.44956
DA,Dartford,430139,173329,13346,9210,0,51.4423,0.221978
DD,Dundee,280568,128312,11563,9119,0,56.537,-2.86393
DE,Derby,730125,306586,30872,17895,0,52.9327,-1.49274
DG,Dumfries and Galloway,151139,67885,7845,6901,3,55.023,-3.87834
DH,Durham,309030,132814,11774,9164,0,54.825,-1.61264
DL,Darlington,360734,156814,17069,13496,0,54.5327,-1.65844
DN,Doncaster,756058,320303,28617,22246,0,53.5409,-0.723125
DT,Dorchester,212796,93053,10110,7934,0,50.7551,-2.4813
DY,Dudley,410847,171692,14745,11116,0,52.4533,-2.17704
E,East London,989043,370613,29689,16942,0,51.5432,-0.0155973
EC,Central London,33956,17102,12644,3583,0,51.5188,-0.0967952
EH,Edinburgh,868113,389353,33697,25309,10,55.9267,-3.22849
EN,Enfield,344780,137907,13370,8554,58,51.6819,-0.0862609
EX,Exeter,547401,235895,29517,22874,1,50.8271,-3.65841
FK,Falkirk and Stirling,276371,119790,9806,7769,0,56.0771,-3.85948
FY,Blackpool,276593,125986,10339,7410,0,53.8251,-3.0226
G,Glasgow,1183614,540601,47750,32383,1,55.8687,-4.26801
GL,Gloucester,605458,257602,29579,21636,0,51.8365,-2.17744
GU,Guildford,726120,288537,36653,22611,0,51.2313,-0.717835
HA,Harrow,480678,169132,17945,10254,0,51.5853,-0.335873
HD,Huddersfield,262843,111694,10894,7176,0,53.6301,-1.78242
HG,Harrogate,138214,59455,6472,4500,0,54.0373,-1.54526
HP,Hemel Hempstead,488592,195951,22423,14130,0,51.7251,-0.691534
HR,Hereford,176308,75400,8129,6544,0,52.0649,-2.72053
HS,Outer Hebrides,27659,12564,1117,979,0,57.9761,-6.69661
HU,Hull,443219,191836,15740,11326,0,53.7685,-0.354284
HX,Halifax,160137,68980,7549,5700,0,53.7204,-1.89258
IG,Ilford,335693,119754,10337,6096,0,51.584,0.0722793
IP,Ipswich,595883,252895,27887,21839,0,52.1957,1.08031
IV,Inverness,228056,98990,11047,7554,1,57.5856,-4.11572
KA,Kilmarnock,370877,166467,14470,11786,1,55.5643,-4.60673
KT,Kingston upon Thames,529633,214274,22903,14280,0,51.3599,-0.343641
KW,Kirkwall,53132,24290,2130,1852,0,58.6536,-3.28245
KY,Kirkcaldy,363956,160089,13464,10292,2,56.1628,-3.21142
L,Liverpool,856675,370680,44057,20853,0,53.4164,-2.9621
LA,Lancaster,328926,143213,14992,11938,0,54.171,-2.90411
LD,Llandrindod Wells,50225,22291,2700,2222,0,52.1286,-3.34165
LE,Leicester,985352,391460,35719,23249,0,52.6442,-1.14925
LL,Llandudno,537252,232655,24718,20313,0,53.1339,-3.71544
LN,Lincoln,293141,126372,12364,9546,0,53.2566,-0.358275
LS,Leeds,774677,330676,32863,22124,1,53.8226,-1.55225
LU,Luton,336095,129149,10786,6434,0,51.8966,-0.510069
M,Manchester,1167414,492884,60045,32318,1,53.4789,-2.27173
ME,Rochester,606891,245786,23200,17136,0,51.3333,0.585037
MK,Milton Keynes,508035,202926,23728,16155,0,52.062,-0.66633
ML,Motherwell,382997,168005,12068,9860,0,55.7765,-3.94441
N,North London,847197,344938,30406,17637,207,51.5855,-0.114135
NE,Newcastle upon Tyne,1162976,510229,46307,33771,1,55.037,-1.64188
NG,Nottingham,1163617,493228,38649,29759,0,53.0055,-1.07127
NN,Northampton,653055,272356,26039,17053,0,52.2893,-0.839807
NP,Newport,488569,206539,28448,13886,0,51.6725,-3.01523
NR,Norwich,722618,315784,29161,24214,0,52.6456,1.33911
NW,North West London,553732,222208,26480,14232,106,51.5551,-0.197254
OL,Oldham,462590,188194,18006,13204,0,53.5816,-2.12594
OX,Oxford,613492,242551,36071,20463,0,51.7949,-1.2907
PA,Paisley,321350,148778,13196,9495,0,56.0671,-4.90572
PE,Peterborough,890431,373094,40415,27692,0,52.6267,-0.045502
PH,Perth,165118,73021,7604,6220,0,56.5633,-3.73477
PL,Plymouth,543016,232152,23212,17875,0,50.4278,-4.32808
PO,Portsmouth,822540,352453,33734,24469,1,50.8024,-1.03382
PR,Preston,520366,219388,20757,13659,0,53.7234,-2.75192
RG,Reading,778419,314408,46622,23775,0,51.4044,-1.0268
RH,Redhill,531923,217143,25001,16344,0,51.1102,-0.20752
RM,Romford,517305,205322,15741,9985,0,51.5468,0.217059
S,Sheffield,1358186,578058,50638,34434,2,53.3932,-1.4112
SA,Swansea,730075,315791,29779,23306,0,51.7604,-4.20676
SE,South East London,988126,412444,35704,20902,0,51.467,-0.0357887
SG,Stevenage,402479,167182,17476,12145,0,51.9468,-0.159253
SK,Stockport,603540,260549,25605,16675,3,53.3711,-2.09858
SL,Slough,373407,144554,16953,10665,0,51.515,-0.642298
SM,Sutton,217171,87907,6835,4346,0,51.3627,-0.184355
SN,Swindon,458798,191252,22060,14640,1,51.5062,-1.89322
SO,Southampton,665472,276330,40826,18593,0,50.93,-1.39131
SP,Salisbury,232282,94658,11625,8739,0,51.1087,-1.77975
SR,Sunderland,250843,109612,9073,6853,194,54.8765,-1.38966
SS,Southend-on-Sea,518631,216682,17618,11993,0,51.5624,0.599164
ST,Stoke-on-Trent,644416,275646,23051,17839,0,52.9773,-2.14615
SW,South West London,877183,382790,37463,20050,0,51.4639,-0.167509
SY,Shrewsbury,341952,144660,17613,14635,1,52.6647,-3.04594
TA,Taunton,322408,139414,15263,12091,0,51.0557,-3.06619
TD,Galashiels,112644,52111,5341,4532,0,55.6153,-2.52415
TF,Telford,212536,85637,9583,7221,0,52.713,-2.46208
TN,Tonbridge,681747,286228,33614,23157,0,51.0848,0.442289
TQ,Torquay,281112,125365,13479,10109,0,50.459,-3.61614
TR,Truro,294061,127803,15927,12508,0,50.2128,-5.2412
TS,Cleveland,602320,256341,23400,17823,0,54.585,-1.22418
TW,Twickenham,491918,193508,20648,11132,61,51.4488,-0.389764
UB,Southall,371413,126879,11805,7218,0,51.5276,-0.416625
W,West London,531690,236493,40612,18598,0,51.5114,-0.19385
WA,Warrington,616482,261804,26210,18355,0,53.3904,-2.59128
WC,Central London,35745,15757,7523,2557,0,51.5177,-0.12244
WD,Watford,256476,103336,16177,7421,1,51.6586,-0.393585
WF,Wakefield,512784,214107,18794,14726,0,53.6856,-1.49546
WN,Wigan,309156,131514,9403,7295,0,53.5344,-2.63723
WR,Worcester,287838,122730,12929,8988,0,52.1633,-2.16922
WS,Walsall,449728,181669,15197,10286,0,52.6496,-1.95671
WV,Wolverhampton,396187,162933,14512,10642,161,52.5809,-2.16199
YO,York,562761,242140,35249,19251,0,54.0454,-0.885943
ZE,Lerwick,23086,9915,758,655,0,60.2189,-1.19856
